New Village Created!
Year: 01, Villagers: 050, Body Count: 00.
Year: 02, Villagers: 062, Body Count: 00.
Year: 03, Villagers: 071, Body Count: 00.
Year: 04, Villagers: 080, Body Count: 00.
Year: 05, Villagers: 085, Body Count: 00.
Year: 06, Villagers: 088, Body Count: 00.
Year: 07, Villagers: 092, Body Count: 00.
Year: 08, Villagers: 096, Body Count: 00.
Year: 09, Villagers: 097, Body Count: 00.
Year: 10, Villagers: 097, Body Count: 00.
Year: 11, Villagers: 097, Body Count: 00.
Year: 12, Villagers: 097, Body Count: 00.
Year: 13, Villagers: 097, Body Count: 00.
Year: 14, Villagers: 097, Body Count: 00.
Year: 15, Villagers: 098, Body Count: 00.
Year: 16, Villagers: 100, Body Count: 00.
Year: 17, Villagers: 103, Body Count: 00.
Year: 18, Villagers: 107, Body Count: 00.
Year: 19, Villagers: 107, Body Count: 07.
Year: 20, Villagers: 115, Body Count: 03.
Year: 21, Villagers: 122, Body Count: 03.
Year: 22, Villagers: 133, Body Count: 04.
Year: 23, Villagers: 143, Body Count: 02.
Year: 24, Villagers: 153, Body Count: 05.
Year: 25, Villagers: 165, Body Count: 04.
Year: 26, Villagers: 174, Body Count: 06.
Year: 27, Villagers: 183, Body Count: 05.
Year: 28, Villagers: 183, Body Count: 11.
Year: 29, Villagers: 197, Body Count: 00.
Year: 30, Villagers: 214, Body Count: 00.
Year: 31, Villagers: 230, Body Count: 00.
Year: 32, Villagers: 244, Body Count: 00.
Year: 33, Villagers: 259, Body Count: 00.
Year: 34, Villagers: 275, Body Count: 00.
Year: 35, Villagers: 293, Body Count: 00.
Year: 36, Villagers: 310, Body Count: 00.
Year: 37, Villagers: 328, Body Count: 00.
Year: 38, Villagers: 355, Body Count: 00.
Year: 39, Villagers: 394, Body Count: 00.
Year: 40, Villagers: 433, Body Count: 00.
Year: 41, Villagers: 471, Body Count: 00.
Year: 42, Villagers: 500, Body Count: 00.
Year: 43, Villagers: 500, Body Count: 00.
Year: 44, Villagers: 500, Body Count: 00.
Year: 45, Villagers: 488, Body Count: 12.
Year: 46, Villagers: 491, Body Count: 09.
Year: 47, Villagers: 491, Body Count: 09.
Year: 48, Villagers: 495, Body Count: 05.
Year: 49, Villagers: 497, Body Count: 03.
Year: 50, Villagers: 496, Body Count: 04.
Year: 51, Villagers: 496, Body Count: 04.
Year: 52, Villagers: 496, Body Count: 04.
Year: 53, Villagers: 495, Body Count: 05.
Year: 54, Villagers: 490, Body Count: 10.
Year: 55, Villagers: 489, Body Count: 11.
Year: 56, Villagers: 478, Body Count: 22.
Year: 57, Villagers: 456, Body Count: 42.
Year: 58, Villagers: 413, Body Count: 64.
Year: 59, Villagers: 353, Body Count: 83.
Year: 60, Villagers: 307, Body Count: 73.
Year: 61, Villagers: 260, Body Count: 73.
Year: 62, Villagers: 230, Body Count: 55.
Year: 63, Villagers: 207, Body Count: 45.
Year: 64, Villagers: 179, Body Count: 51.
Year: 65, Villagers: 169, Body Count: 30.
Year: 66, Villagers: 149, Body Count: 35.
Year: 67, Villagers: 139, Body Count: 16.
Year: 68, Villagers: 120, Body Count: 25.
Year: 69, Villagers: 101, Body Count: 21.
Year: 70, Villagers: 076, Body Count: 28.
Year: 71, Villagers: 067, Body Count: 10.
Year: 72, Villagers: 054, Body Count: 14.
Year: 73, Villagers: 047, Body Count: 08.
Year: 74, Villagers: 039, Body Count: 09.
Year: 75, Villagers: 031, Body Count: 09.
Year: 76, Villagers: 022, Body Count: 09.
Year: 77, Villagers: 018, Body Count: 04.
Year: 78, Villagers: 014, Body Count: 04.
Year: 79, Villagers: 012, Body Count: 02.
Year: 80, Villagers: 011, Body Count: 01.
Year: 81, Villagers: 010, Body Count: 01.
Year: 82, Villagers: 008, Body Count: 02.
Year: 83, Villagers: 007, Body Count: 01.
Year: 84, Villagers: 007, Body Count: 00.
Year: 85, Villagers: 007, Body Count: 00.
Year: 86, Villagers: 007, Body Count: 00.
Year: 87, Villagers: 007, Body Count: 00.
Year: 88, Villagers: 007, Body Count: 00.
Year: 89, Villagers: 007, Body Count: 00.
Year: 90, Villagers: 007, Body Count: 00.
Year: 91, Villagers: 007, Body Count: 00.
Year: 92, Villagers: 007, Body Count: 00.
Year: 93, Villagers: 007, Body Count: 00.
Year: 94, Villagers: 007, Body Count: 00.
Year: 95, Villagers: 007, Body Count: 00.
Year: 96, Villagers: 007, Body Count: 00.
Year: 97, Villagers: 006, Body Count: 01.
Year: 98, Villagers: 006, Body Count: 00.
Year: 99, Villagers: 006, Body Count: 00.
Year: 100, Villagers: 006, Body Count: 00.
Year: 101, Villagers: 006, Body Count: 00.
Year: 102, Villagers: 005, Body Count: 01.
Year: 103, Villagers: 005, Body Count: 00.
Year: 104, Villagers: 004, Body Count: 01.
Year: 105, Villagers: 004, Body Count: 00.
Year: 106, Villagers: 004, Body Count: 00.
Year: 107, Villagers: 003, Body Count: 01.
Year: 108, Villagers: 003, Body Count: 00.
Year: 109, Villagers: 002, Body Count: 01.
Year: 110, Villagers: 001, Body Count: 01.
Year: 111, Villagers: 001, Body Count: 00.
Year: 112, Villagers: 001, Body Count: 00.
Year: 113, Villagers: 001, Body Count: 00.
Year: 114, Villagers: 001, Body Count: 00.
Year: 115, Villagers: 001, Body Count: 00.
Year: 116, Villagers: 001, Body Count: 00.
Year: 117, Villagers: 001, Body Count: 00.
Year: 118, Villagers: 000, Body Count: 01.
Total Body Count: 870, Total Diseases encountered: 2 Average Lifespan: 20
