New Village Created!
Year: 01, Villagers: 050, Body Count: 00.
Year: 02, Villagers: 057, Body Count: 05.
Year: 03, Villagers: 053, Body Count: 12.
Year: 04, Villagers: 034, Body Count: 24.
Year: 05, Villagers: 021, Body Count: 14.
Year: 06, Villagers: 013, Body Count: 08.
Year: 07, Villagers: 006, Body Count: 07.
Year: 08, Villagers: 004, Body Count: 02.
Year: 09, Villagers: 003, Body Count: 01.
Year: 10, Villagers: 004, Body Count: 00.
Year: 11, Villagers: 004, Body Count: 00.
Year: 12, Villagers: 005, Body Count: 00.
Year: 13, Villagers: 005, Body Count: 00.
Year: 14, Villagers: 005, Body Count: 00.
Year: 15, Villagers: 003, Body Count: 03.
Year: 16, Villagers: 001, Body Count: 02.
Year: 17, Villagers: 001, Body Count: 00.
Year: 18, Villagers: 001, Body Count: 00.
Year: 19, Villagers: 001, Body Count: 00.
Year: 20, Villagers: 000, Body Count: 01.
Total Body Count: 79, Total Diseases encountered: 5 Average Lifespan: 4
