New Village Created!
<<Sanctuary period: 10 years>>
Year: 00, Villagers: 050, Body Count: 00.
Year: 01, Villagers: 061, Body Count: 00.
Year: 02, Villagers: 073, Body Count: 00.
Year: 03, Villagers: 081, Body Count: 00.
Year: 04, Villagers: 087, Body Count: 00.
Year: 05, Villagers: 090, Body Count: 00.
Year: 06, Villagers: 092, Body Count: 00.
Year: 07, Villagers: 095, Body Count: 00.
Year: 08, Villagers: 095, Body Count: 00.
Year: 09, Villagers: 096, Body Count: 00.
Year: 10, Villagers: 096, Body Count: 00.
<<New Disease: [82,18,49], Fitness: 74347.71>>
Year: 11, Villagers: 096, Body Count: 00.
Year: 12, Villagers: 092, Body Count: 04.
Year: 13, Villagers: 085, Body Count: 07.
Year: 14, Villagers: 072, Body Count: 13.
Year: 15, Villagers: 063, Body Count: 09.
Year: 16, Villagers: 053, Body Count: 11.
Year: 17, Villagers: 045, Body Count: 08.
Year: 18, Villagers: 037, Body Count: 09.
Year: 19, Villagers: 033, Body Count: 06.
Year: 20, Villagers: 030, Body Count: 04.
Year: 21, Villagers: 027, Body Count: 04.
Year: 22, Villagers: 021, Body Count: 06.
Year: 23, Villagers: 015, Body Count: 07.
Year: 24, Villagers: 013, Body Count: 02.
<<Sanctuary period: 10 years>>
Year: 25, Villagers: 013, Body Count: 00.
Year: 26, Villagers: 014, Body Count: 00.
Year: 27, Villagers: 013, Body Count: 01.
Year: 28, Villagers: 014, Body Count: 00.
Year: 29, Villagers: 016, Body Count: 00.
Year: 30, Villagers: 016, Body Count: 00.
Year: 31, Villagers: 017, Body Count: 00.
Year: 32, Villagers: 018, Body Count: 00.
Year: 33, Villagers: 020, Body Count: 00.
Year: 34, Villagers: 021, Body Count: 00.
Year: 35, Villagers: 022, Body Count: 00.
<<New Disease: [62,38,49], Fitness: 11898.44>>
Year: 36, Villagers: 024, Body Count: 00.
Year: 37, Villagers: 028, Body Count: 00.
Year: 38, Villagers: 033, Body Count: 00.
Year: 39, Villagers: 038, Body Count: 00.
Year: 40, Villagers: 041, Body Count: 00.
Year: 41, Villagers: 042, Body Count: 00.
Year: 42, Villagers: 044, Body Count: 00.
Year: 43, Villagers: 046, Body Count: 00.
Year: 44, Villagers: 047, Body Count: 02.
Year: 45, Villagers: 045, Body Count: 04.
Year: 46, Villagers: 050, Body Count: 03.
Year: 47, Villagers: 052, Body Count: 00.
Year: 48, Villagers: 053, Body Count: 01.
<<New Disease: [36,64,19], Fitness: 67728.58>>
Year: 49, Villagers: 051, Body Count: 05.
Year: 50, Villagers: 042, Body Count: 12.
Year: 51, Villagers: 021, Body Count: 24.
Year: 52, Villagers: 012, Body Count: 09.
Year: 53, Villagers: 005, Body Count: 07.
Year: 54, Villagers: 001, Body Count: 04.
<<Sanctuary period: 10 years>>
Year: 55, Villagers: 001, Body Count: 00.
Year: 56, Villagers: 001, Body Count: 00.
Year: 57, Villagers: 001, Body Count: 00.
Year: 58, Villagers: 001, Body Count: 00.
Year: 59, Villagers: 001, Body Count: 00.
Year: 60, Villagers: 001, Body Count: 00.
Year: 61, Villagers: 001, Body Count: 00.
Year: 62, Villagers: 001, Body Count: 00.
Year: 63, Villagers: 001, Body Count: 00.
Year: 64, Villagers: 001, Body Count: 00.
Year: 65, Villagers: 001, Body Count: 00.
<<New Disease: [96,4,49], Fitness: 444.96>>
Year: 66, Villagers: 000, Body Count: 01.
Total Body Count: 163, Total Diseases encountered: 4 Average Lifespan: 15 years.
